campaign_id,year,committee_type,committee,committee_number,candidate,kind,n_donors,dollars_itemized,candidate_sov,contest,votes,elected,slate_side,slate_side_two_poles,slate_groups
2026|cand|Aaron Brockett,2026,Official Candidate Committee,Aaron Brockett for Mayor,2026-OCC-012,Aaron Brockett,candidate,143.0,12266.0,Aaron Brockett,mayor,,,B,B,boulder_progressives
2026|cand|Aquiles La Grave,2026,Official Candidate Committee,Aquiles La Grave for Mayor,2026-OCC-022,Aquiles La Grave,candidate,64.0,5765.0,Aquiles La Grave,mayor,,,,,
2026|cand|Christina Marquis,2026,Official Candidate Committee,Tina for Boulder City Council,2026-OCC-015,Christina Marquis,candidate,104.0,8949.13,Tina Marquis,council,,,B,B,boulder_progressives
2026|cand|Jamillah Richmond,2026,Official Candidate Committee,Jamillah; A New Voice for Boulder,2026-OCC-016,Jamillah Richmond,candidate,27.0,1925.0,Jamillah Richmond,council,,,B,B,boulder_progressives
2026|cand|Jill Grano,2026,Official Candidate Committee,Jill for Council,2026-OCC-008,Jill Grano,candidate,113.0,8821.72,Jill Grano,council,,,B,B,boulder_progressives
2026|cand|Rachel Isaacson,2026,Official Candidate Committee,Rachel Rose for Boulder,2026-OCC-004,Rachel Isaacson,candidate,123.0,5187.08,Rachel Isaacson,council,,,,,
2026|cand|Ryan Jamieson,2026,Official Candidate Committee,Jamieson for Boulder,2026-OCC-011,Ryan Jamieson,candidate,0.0,0.0,Ryan Jamieson,council,,,,,
2026|cand|Ryan Schuchard,2026,Official Candidate Committee,Friends of Ryan Schuchard,2026-OCC-007,Ryan Schuchard,candidate,107.0,8276.0,Ryan Schuchard,council,,,B,B,boulder_progressives
2026|cand|Samuel Fuqua,2026,Official Candidate Committee,Sam Fuqua For Boulder,2026-OCC-018,Samuel Fuqua,candidate,118.0,7261.0,Sam Fuqua,council,,,B,B,boulder_progressives
2026|cand|Tara Winer,2026,Official Candidate Committee,Tara Winer for Council,2026-OCC-005,Tara Winer,candidate,145.0,12555.0,Tara Winer,council,,,,,
2026|issue|Boulder Firefighters for a Stronger Boulder,2026,Ballot Measure Committee,Boulder Firefighters for a Stronger Boulder,2026-BMC-002,,issue,1.0,242.0,,,,,,,
