year,area_code,area_name,prim_state,occ_code,occ_title,occ_group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_median,a_median,h_pct10,h_pct25,h_pct75,h_pct90,a_pct10,a_pct25,a_pct75,a_pct90,jobs_1000,loc_quotient,annual,hourly
2013,14500,"Boulder, CO",CO,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,3590,4.9,24.58,51120,4.5,21.1,43880,10.14,13.92,29.32,42.83,21080,28940,60990,89090,22.012,1.66,,
2013,14500,"Boulder, CO",CO,27-1011,Art Directors,detailed,150,6.8,49.85,103690,6,42.26,87910,21.75,29.86,63.86,86.67,45240,62120,132830,180270,0.92,3.78,,
2013,14500,"Boulder, CO",CO,27-1014,Multimedia Artists and Animators,detailed,80,17.8,28.95,60220,3,27.54,57280,19.64,22.36,34.41,42.73,40860,46500,71580,88870,0.491,2.12,,
2013,14500,"Boulder, CO",CO,27-1021,Commercial and Industrial Designers,detailed,50,36.6,26.66,55450,7.4,23.89,49690,18.5,20.8,28.03,42.11,38480,43260,58310,87600,0.307,1.43,,
2013,14500,"Boulder, CO",CO,27-1022,Fashion Designers,detailed,60,41.8,27.22,56620,7.3,22.55,46910,18.95,20.31,30.94,43.29,39410,42240,64360,90050,0.369,2.82,,
2013,14500,"Boulder, CO",CO,27-1023,Floral Designers,detailed,40,13.2,14.49,30140,3.1,14.65,30480,12.14,13.08,16.5,17.85,25240,27210,34320,37130,0.223,0.64,,
2013,14500,"Boulder, CO",CO,27-1024,Graphic Designers,detailed,560,12.4,25.6,53240,3.9,23.24,48340,15.97,19.73,28.8,40.15,33220,41030,59900,83510,3.419,2.33,,
2013,14500,"Boulder, CO",CO,27-1026,Merchandise Displayers and Window Trimmers,detailed,**,**,13.66,28420,4.9,12.66,26330,8.29,9.04,15.04,20.05,17230,18800,31290,41710,**,**,,
2013,14500,"Boulder, CO",CO,27-2012,Producers and Directors,detailed,70,24.3,28.38,59030,9.4,25.4,52830,15.99,19.42,38.07,44.82,33260,40390,79200,93230,0.459,0.66,,
2013,14500,"Boulder, CO",CO,27-2022,Coaches and Scouts,detailed,630,16.2,*,36150,13.8,*,25110,*,*,*,*,18200,21040,31090,55700,3.881,2.5,TRUE,
2013,14500,"Boulder, CO",CO,27-2042,Musicians and Singers,detailed,40,38.1,*,*,*,*,*,*,*,*,*,*,*,*,*,0.25,0.85,,TRUE
2013,14500,"Boulder, CO",CO,27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",detailed,40,28.4,18.06,*,4.6,15.79,*,11.07,12.89,21.28,27.01,*,*,*,*,0.221,1.78,,TRUE
2013,14500,"Boulder, CO",CO,27-3031,Public Relations Specialists,detailed,530,8.8,23.43,48740,2.9,23.07,47980,12.14,15.57,28.16,35.66,25250,32390,58560,74180,3.28,2.15,,
2013,14500,"Boulder, CO",CO,27-3041,Editors,detailed,260,13.2,28.41,59100,4.2,23.4,48670,16.98,19.78,34.09,46.69,35320,41150,70910,97120,1.596,2.14,,
